,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,cluster
51,Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,2022-05-06,2.9761166666666665,98,0.9109999999999999,0.0901,0.7120000000000001,2.68e-05,0.0933,-5.105,0.0817,92.005,4,0
52,Bound 2,Yeezus,Kanye West,2013-06-18,3.8191,89,0.36700000000000005,0.145,0.665,0.0,0.113,-2.821,0.0465,148.91299999999998,4,0
54,Betty (Get Money),Betty (Get Money),Yung Gravy,2022-06-10,2.4411666666666667,88,0.723,0.00524,0.772,1.15e-05,0.36700000000000005,-6.784,0.0792,102.00399999999999,4,0
55,I'm Good (Blue),I'm Good (Blue),David Guetta,2022-08-26,2.9206333333333334,99,0.561,0.0038299999999999996,0.965,7.07e-06,0.371,-3.673,0.0343,128.04,4,0
56,Baby Shark,Pinkfong Animal Songs,Pinkfong,2017-07-27,1.3487833333333332,77,0.8290000000000001,0.259,0.8859999999999999,0.0,0.0559,-1.746,0.11199999999999999,115.056,4,0
59,Blinding Lights,After Hours,The Weeknd,2020-03-20,3.3339999999999996,92,0.514,0.00146,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,4,0
62,"Sex, Drugs, Etc.",Chit Chat,Beach Weather,2016-11-04,3.279733333333333,90,0.5720000000000001,0.013000000000000001,0.8390000000000001,0.00976,0.522,-5.083,0.0377,143.969,4,0
64,ball w/o you,i am > i was,21 Savage,2018-12-21,3.250766666666667,82,0.892,0.0467,0.633,0.00018899999999999999,0.139,-7.471,0.0902,137.994,4,0
67,Bones,Bones,Imagine Dragons,2022-03-11,2.7544,90,0.773,0.0206,0.742,0.0,0.0754,-3.678,0.046,114.071,4,0
68,Efecto,Un Verano Sin Ti,Bad Bunny,2022-05-06,3.5510166666666665,96,0.8009999999999999,0.141,0.475,1.73e-05,0.0639,-8.797,0.0516,98.04700000000001,4,0
72,Better Days (NEIKED x Mae Muller x Polo G),Better Days (NEIKED x Mae Muller x Polo G),NEIKED,2021-09-24,2.6776,83,0.7170000000000001,0.0018,0.6709999999999999,2.54e-06,0.0921,-5.077,0.0337,110.054,4,0
73,La Bachata,La Bachata,Manuel Turizo,2022-05-26,2.7106166666666667,98,0.835,0.583,0.679,1.98e-06,0.218,-5.329,0.0364,124.98,4,0
75,Break from Toronto,PARTYNEXTDOOR,PARTYNEXTDOOR,2013-07-01,1.65355,82,0.596,0.0199,0.6779999999999999,0.004,0.418,-5.18,0.0335,117.066,4,0
76,"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,2022-07-06,3.3156166666666667,99,0.621,0.0125,0.782,0.033,0.23,-5.547999999999999,0.044000000000000004,128.033,4,0
78,Moscow Mule,Un Verano Sin Ti,Bad Bunny,2022-05-06,4.098983333333333,95,0.804,0.294,0.674,1.18e-06,0.115,-5.452999999999999,0.0333,99.96799999999999,4,0
79,CUFF IT,RENAISSANCE,Beyoncé,2022-07-29,3.756466666666667,93,0.78,0.0368,0.6890000000000001,9.69e-06,0.0698,-5.667999999999999,0.141,115.042,4,0
81,Mr. Brightside,Hot Fuss,The Killers,2004,3.7162166666666665,87,0.35200000000000004,0.00121,0.9109999999999999,0.0,0.0995,-5.23,0.0747,148.033,4,0
82,Blank Space,1989,Taylor Swift,2014-10-27,3.863766666666667,77,0.753,0.085,0.6779999999999999,1.64e-06,0.13,-5.421,0.0644,96.006,4,0
87,Bad Habits,=,Ed Sheeran,2021-10-29,3.8457666666666666,89,0.807,0.0451,0.893,2.7899999999999997e-05,0.366,-3.745,0.0347,126.01100000000001,4,0
88,Ojitos Lindos,Un Verano Sin Ti,Bad Bunny,2022-05-06,4.304966666666667,96,0.647,0.08,0.6859999999999999,1.34e-06,0.528,-5.745,0.0413,79.928,4,0
90,Beer Never Broke My Heart,What You See Is What You Get,Luke Combs,2019-11-08,3.112216666666667,79,0.5379999999999999,0.0139,0.863,0.0,0.0874,-4.4830000000000005,0.0481,77.001,4,0
92,Space Song,Depression Cherry,Beach House,2015-08-28,5.3411,81,0.508,0.22899999999999998,0.792,0.124,0.145,-7.311,0.0297,147.067,4,0
93,Broken Clocks,Ctrl,SZA,2017-06-09,3.854216666666667,80,0.6920000000000001,0.131,0.684,0.0,0.156,-7.364,0.155,112.912,4,0
95,I Want It That Way,Millennium,Backstreet Boys,1999-05-18,3.5551,82,0.6890000000000001,0.257,0.6940000000000001,0.0,0.14800000000000002,-5.83,0.027000000000000003,99.039,4,0
96,Believer,Evolve,Imagine Dragons,2017-06-23,3.4057666666666666,89,0.7759999999999999,0.0622,0.78,0.0,0.081,-4.374,0.128,124.949,4,0
97,Don’t Blame Me,reputation,Taylor Swift,2017-11-10,3.9402166666666663,89,0.615,0.106,0.534,1.76e-05,0.0607,-6.718999999999999,0.0386,135.917,4,0
101,Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",Drake,2022-06-17,3.6394,91,0.529,0.000307,0.6729999999999999,2.41e-06,0.09300000000000001,-4.711,0.175,165.921,4,0
103,Call Out My Name,"My Dear Melancholy,",The Weeknd,2018-03-30,3.806216666666667,90,0.461,0.17,0.593,0.0,0.307,-4.954,0.0356,134.17,3,0
105,Circles,Hollywood's Bleeding,Post Malone,2019-09-06,3.588,88,0.695,0.192,0.762,0.00244,0.0863,-3.497,0.0395,120.042,4,0
106,Under The Influence,Indigo (Extended),Chris Brown,2019-10-04,3.0768833333333334,96,0.733,0.0635,0.69,1.18e-06,0.105,-5.529,0.0427,116.992,4,0
107,Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,2022-08-25,3.9886166666666663,92,0.8009999999999999,0.382,0.8059999999999999,0.000669,0.114,-5.206,0.0381,106.999,4,0
113,Cruel Summer,Lover,Taylor Swift,2019-08-23,2.9737666666666667,86,0.552,0.11699999999999999,0.7020000000000001,2.0600000000000003e-05,0.105,-5.707000000000001,0.157,169.99400000000003,4,0
114,First Class,First Class,Jack Harlow,2022-04-08,2.8991166666666666,87,0.905,0.0254,0.563,9.71e-06,0.113,-6.135,0.102,106.99799999999999,4,0
